Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Kdelc1	ENSMUST00000065767.3	KDEL (Lys-Asp-Glu-Leu) containing 1 	811	1	1	0	0	1	mmu-miR-146a-3p	-0.62	-0.62	< 0.1
Gm9930	ENSMUST00000066742.4	predicted gene 9930 	5	2	1	0	1	0	mmu-miR-146a-3p	-0.61	-0.61	< 0.1
Impa1	ENSMUST00000065938.9	inositol (myo)-1(or 4)-monophosphatase 1 	2716	4	2	1	1	4	mmu-miR-146a-3p	-0.61	-1.15	< 0.1
Rab7	ENSMUST00000113600.4	RAB7, member RAS oncogene family 	6208	3	1	1	1	1	mmu-miR-146a-3p	-0.59	-0.66	< 0.1
Trim52	ENSMUST00000022708.5	tripartite motif-containing 52 	5	2	1	1	0	0	mmu-miR-146a-3p	-0.59	-0.59	< 0.1
Gm14434	ENSMUST00000122097.3	predicted gene 14434 	0	1	0	0	1	5	mmu-miR-146a-3p	-0.59	-0.59	< 0.1
Gm2007	ENSMUST00000178133.2	predicted gene 2007 	0	1	0	0	1	5	mmu-miR-146a-3p	-0.59	-0.59	< 0.1
A230065H16Rik	ENSMUST00000150384.1	RIKEN cDNA A230065H16 gene 	12	1	1	0	0	0	mmu-miR-146a-3p	-0.58	-0.58	< 0.1
Tekt3	ENSMUST00000035732.4	tektin 3 	6	1	1	0	0	0	mmu-miR-146a-3p	-0.58	-0.58	< 0.1
Ms4a1	ENSMUST00000169159.2	membrane-spanning 4-domains, subfamily A, member 1 	34	2	1	1	0	0	mmu-miR-146a-3p	-0.58	-0.60	< 0.1
Gm6710	ENSMUST00000109012.3	predicted gene 6710 	0	1	0	0	1	5	mmu-miR-146a-3p	-0.58	-0.58	< 0.1
Ap5b1	ENSMUST00000096318.3	adaptor-related protein complex 5, beta 1 subunit 	83	3	1	0	2	2	mmu-miR-146a-3p	-0.58	-0.67	< 0.1
AW112010	ENSMUST00000099676.4	expressed sequence AW112010 	2283	2	2	0	0	2	mmu-miR-146a-3p	-0.56	-0.79	< 0.1
Epb4.2	ENSMUST00000102490.4	erythrocyte protein band 4.2 	11	1	1	0	0	0	mmu-miR-146a-3p	-0.56	-0.56	< 0.1
Slc25a4	ENSMUST00000034049.4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4 	102955	1	1	0	0	3	mmu-miR-146a-3p	-0.56	-0.64	< 0.1
Wfdc17	ENSMUST00000092836.5	WAP four-disulfide core domain 17 	248	1	1	0	0	0	mmu-miR-146a-3p	-0.56	-0.56	< 0.1
Khdc1b	ENSMUST00000147615.1	KH domain containing 1B 	5	2	1	1	0	0	mmu-miR-146a-3p	-0.56	-0.56	< 0.1
Dpp10	ENSMUST00000112606.2	dipeptidylpeptidase 10 	5	5	2	3	0	4	mmu-miR-146a-3p	-0.55	-0.55	< 0.1
E130114P18Rik	ENSMUST00000107068.3	RIKEN cDNA E130114P18 gene 	6	2	0	0	2	1	mmu-miR-146a-3p	-0.55	-0.55	< 0.1
Cyb5d1	ENSMUST00000108660.2	cytochrome b5 domain containing 1 	677	2	1	0	1	1	mmu-miR-146a-3p	-0.55	-0.55	< 0.1
Slc4a3	ENSMUST00000124341.2	solute carrier family 4 (anion exchanger), member 3 	1069	3	1	1	1	4	mmu-miR-146a-3p	-0.54	-0.70	< 0.1
Gm17567	ENSMUST00000164429.1	predicted gene, 17567 	42	2	1	0	1	2	mmu-miR-146a-3p	-0.54	-0.54	< 0.1
Sacm1l	ENSMUST00000026270.7	SAC1 (suppressor of actin mutations 1, homolog)-like (S. cerevisiae) 	2478	2	1	0	1	0	mmu-miR-146a-3p	-0.54	-0.55	< 0.1
Mrpl33	ENSMUST00000031024.8	mitochondrial ribosomal protein L33 	1066	1	1	0	0	0	mmu-miR-146a-3p	-0.54	-0.55	< 0.1
Spink2	ENSMUST00000120429.2	serine peptidase inhibitor, Kazal type 2 	7	1	1	0	0	0	mmu-miR-146a-3p	-0.54	-0.54	< 0.1
Zfp951	ENSMUST00000186219.1	zinc finger protein 951 	11	1	1	0	0	4	mmu-miR-146a-3p	-0.53	-0.53	< 0.1
Gm6792	ENSMUST00000121024.2	predicted gene 6792 	141	1	1	0	0	0	mmu-miR-146a-3p	-0.53	-0.53	< 0.1
Rgs21	ENSMUST00000184189.2	regulator of G-protein signalling 21 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.53	-0.53	< 0.1
Rps6ka3	ENSMUST00000033671.7	ribosomal protein S6 kinase polypeptide 3 	1770	3	1	1	1	1	mmu-miR-146a-3p	-0.53	-0.94	< 0.1
Gm11007	ENSMUST00000178120.2	predicted gene 11007 	0	1	0	0	1	5	mmu-miR-146a-3p	-0.52	-0.52	< 0.1
Gm4724	ENSMUST00000109045.3	predicted gene 4724 	0	1	0	0	1	5	mmu-miR-146a-3p	-0.52	-0.52	< 0.1
AB124611	ENSMUST00000086361.6	cDNA sequence AB124611 	92	2	1	0	1	0	mmu-miR-146a-3p	-0.52	-0.52	< 0.1
Ankdd1a	ENSMUST00000061766.5	ankyrin repeat and death domain containing 1A 	1	4	0	1	3	4	mmu-miR-146a-3p	-0.51	-0.51	< 0.1
Rgs11	ENSMUST00000025020.5	regulator of G-protein signaling 11 	80	1	1	0	0	0	mmu-miR-146a-3p	-0.51	-0.52	< 0.1
Slco4c1	ENSMUST00000071985.5	solute carrier organic anion transporter family, member 4C1 	253	3	2	1	0	1	mmu-miR-146a-3p	-0.51	-0.51	< 0.1
9830147E19Rik	ENSMUST00000098503.3	RIKEN cDNA 9830147E19 gene 	2	2	1	1	0	6	mmu-miR-146a-3p	-0.51	-0.51	< 0.1
Pnma1	ENSMUST00000061425.2	paraneoplastic antigen MA1 	8	2	2	0	0	0	mmu-miR-146a-3p	-0.51	-0.51	< 0.1
Gpr34	ENSMUST00000096492.3	G protein-coupled receptor 34 	19	1	1	0	0	0	mmu-miR-146a-3p	-0.50	-0.50	< 0.1
Gm7221	ENSMUST00000173283.1	predicted gene 7221 	13	2	0	2	0	3	mmu-miR-146a-3p	-0.49	-0.54	< 0.1
Lrrc19	ENSMUST00000053419.3	leucine rich repeat containing 19 	690	1	1	0	0	2	mmu-miR-146a-3p	-0.49	-0.50	< 0.1
5430402E10Rik	ENSMUST00000063127.3	RIKEN cDNA 5430402E10 gene 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.49	-0.49	< 0.1
Gm14744	ENSMUST00000114039.2	predicted gene 14744 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.49	-0.49	< 0.1
Klri2	ENSMUST00000050385.5	killer cell lectin-like receptor family I member 2 	5	2	0	0	2	0	mmu-miR-146a-3p	-0.49	-0.49	< 0.1
Nme3	ENSMUST00000024978.6	NME/NM23 nucleoside diphosphate kinase 3 	1383	1	1	0	0	0	mmu-miR-146a-3p	-0.48	-0.48	< 0.1
Atp5j	ENSMUST00000114193.2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F 	24	1	0	1	0	0	mmu-miR-146a-3p	-0.48	-0.48	< 0.1
Rpn2	ENSMUST00000116380.3	ribophorin II 	16594	1	1	0	0	0	mmu-miR-146a-3p	-0.48	-0.48	< 0.1
Gm14305	ENSMUST00000108981.3	predicted gene 14305 	0	1	0	0	1	5	mmu-miR-146a-3p	-0.47	-0.47	< 0.1
Tpst2	ENSMUST00000031287.5	protein-tyrosine sulfotransferase 2 	3820	1	1	0	0	0	mmu-miR-146a-3p	-0.47	-0.48	< 0.1
Ptprg	ENSMUST00000022264.7	protein tyrosine phosphatase, receptor type, G 	1653	4	0	2	2	1	mmu-miR-146a-3p	-0.47	-0.53	< 0.1
Psma1	ENSMUST00000033008.9	proteasome (prosome, macropain) subunit, alpha type 1 	11553	1	1	0	0	0	mmu-miR-146a-3p	-0.47	-0.47	< 0.1
Ascl1	ENSMUST00000020243.7	achaete-scute complex homolog 1 (Drosophila) 	7	2	1	0	1	0	mmu-miR-146a-3p	-0.47	-0.47	< 0.1
Iqcf6	ENSMUST00000171091.2	IQ motif containing F6 	5	1	0	0	1	0	mmu-miR-146a-3p	-0.47	-0.47	< 0.1
Rnf7	ENSMUST00000057500.5	ring finger protein 7 	1850	1	1	0	0	0	mmu-miR-146a-3p	-0.47	-0.47	< 0.1
Arfip1	ENSMUST00000098990.4	ADP-ribosylation factor interacting protein 1 	2628	2	1	0	1	0	mmu-miR-146a-3p	-0.47	-0.47	< 0.1
Fstl4	ENSMUST00000036796.7	follistatin-like 4 	9	4	1	0	3	1	mmu-miR-146a-3p	-0.47	-0.70	< 0.1
Calhm2	ENSMUST00000035822.1	calcium homeostasis modulator 2 	233	2	1	0	1	1	mmu-miR-146a-3p	-0.47	-0.47	< 0.1
Alg6	ENSMUST00000097961.3	asparagine-linked glycosylation 6 (alpha-1,3,-glucosyltransferase) 	436	2	1	1	0	0	mmu-miR-146a-3p	-0.46	-0.47	< 0.1
Gm4861	ENSMUST00000068546.5	predicted gene 4861 	19	2	2	0	0	2	mmu-miR-146a-3p	-0.46	-0.67	< 0.1
Smyd2	ENSMUST00000027897.7	SET and MYND domain containing 2 	135	1	1	0	0	1	mmu-miR-146a-3p	-0.46	-0.47	< 0.1
Cnbp	ENSMUST00000032138.9	cellular nucleic acid binding protein 	16454	2	2	0	0	0	mmu-miR-146a-3p	-0.46	-0.54	< 0.1
Ufm1	ENSMUST00000146598.2	ubiquitin-fold modifier 1 	2373	2	1	1	0	1	mmu-miR-146a-3p	-0.45	-0.56	< 0.1
Gm9797	ENSMUST00000052902.7	predicted pseudogene 9797 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.45	-0.45	< 0.1
Oas1f	ENSMUST00000057814.4	2'-5' oligoadenylate synthetase 1F 	5	2	0	0	2	0	mmu-miR-146a-3p	-0.45	-0.45	< 0.1
Clip4	ENSMUST00000024854.7	CAP-GLY domain containing linker protein family, member 4 	928	2	2	0	0	0	mmu-miR-146a-3p	-0.45	-0.45	< 0.1
Gpr84	ENSMUST00000079824.4	G protein-coupled receptor 84 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.44	-0.44	< 0.1
Klhl14	ENSMUST00000049105.5	kelch-like 14 	20	3	0	0	3	0	mmu-miR-146a-3p	-0.44	-0.46	< 0.1
Gnptg	ENSMUST00000115154.5	N-acetylglucosamine-1-phosphotransferase, gamma subunit 	235	1	1	0	0	0	mmu-miR-146a-3p	-0.44	-0.44	< 0.1
Ak7	ENSMUST00000040876.5	adenylate kinase 7 	44	1	0	0	1	3	mmu-miR-146a-3p	-0.44	-0.45	< 0.1
Pkia	ENSMUST00000028999.6	protein kinase inhibitor, alpha 	10819	1	1	0	0	0	mmu-miR-146a-3p	-0.44	-0.45	< 0.1
Olfr27	ENSMUST00000057811.5	olfactory receptor 27 	5	1	0	0	1	0	mmu-miR-146a-3p	-0.44	-0.44	< 0.1
Vmn1r33	ENSMUST00000175988.1	vomeronasal 1 receptor 33 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.44	-0.44	< 0.1
Man2a1	ENSMUST00000086723.4	mannosidase 2, alpha 1 	10291	4	0	3	1	0	mmu-miR-146a-3p	-0.43	-0.44	< 0.1
Stx11	ENSMUST00000163425.2	syntaxin 11 	274	2	2	0	0	1	mmu-miR-146a-3p	-0.43	-0.63	< 0.1
1600012H06Rik	ENSMUST00000052691.8	RIKEN cDNA 1600012H06 gene 	459	1	1	0	0	0	mmu-miR-146a-3p	-0.43	-0.43	< 0.1
Arpc5	ENSMUST00000077755.6	actin related protein 2/3 complex, subunit 5 	240	1	1	0	0	0	mmu-miR-146a-3p	-0.43	-0.43	< 0.1
B4galt5	ENSMUST00000109221.3	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5 	212	3	1	1	1	1	mmu-miR-146a-3p	-0.43	-0.45	< 0.1
Vimp	ENSMUST00000101801.5	VCP-interacting membrane protein 	4931	3	0	3	0	0	mmu-miR-146a-3p	-0.43	-0.75	< 0.1
Commd8	ENSMUST00000013693.6	COMM domain containing 8 	3329	2	0	1	1	2	mmu-miR-146a-3p	-0.43	-0.44	< 0.1
Ahsa1	ENSMUST00000021425.6	AHA1, activator of heat shock protein ATPase 1 	485	2	1	1	0	4	mmu-miR-146a-3p	-0.43	-0.50	< 0.1
Fgd5	ENSMUST00000089334.3	FYVE, RhoGEF and PH domain containing 5 	364	3	0	0	3	0	mmu-miR-146a-3p	-0.42	-0.61	< 0.1
Vma21	ENSMUST00000114577.2	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae) 	350	3	0	2	1	1	mmu-miR-146a-3p	-0.42	-0.49	< 0.1
Olfr1133	ENSMUST00000099855.1	olfactory receptor 1133 	42	2	2	0	0	0	mmu-miR-146a-3p	-0.41	-0.41	< 0.1
Fam214a	ENSMUST00000170846.2	family with sequence similarity 214, member A 	777	1	1	0	0	0	mmu-miR-146a-3p	-0.41	-0.41	< 0.1
Selp	ENSMUST00000162746.1	selectin, platelet 	21	1	1	0	0	1	mmu-miR-146a-3p	-0.41	-0.42	< 0.1
Cbfb	ENSMUST00000109392.2	core binding factor beta 	6247	2	1	1	0	0	mmu-miR-146a-3p	-0.41	-0.41	< 0.1
Plcl1	ENSMUST00000042986.9	phospholipase C-like 1 	179	4	2	1	1	0	mmu-miR-146a-3p	-0.41	-0.45	< 0.1
Timm8a1	ENSMUST00000054213.4	translocase of inner mitochondrial membrane 8A1 	486	1	1	0	0	1	mmu-miR-146a-3p	-0.41	-0.45	< 0.1
1700129C05Rik	ENSMUST00000022548.4	RIKEN cDNA 1700129C05 gene 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.41	-0.41	< 0.1
Trip13	ENSMUST00000022053.8	thyroid hormone receptor interactor 13 	647	2	0	0	2	1	mmu-miR-146a-3p	-0.41	-0.41	< 0.1
Pde4d	ENSMUST00000120664.2	phosphodiesterase 4D, cAMP specific 	1752	2	0	0	2	2	mmu-miR-146a-3p	-0.41	-0.47	< 0.1
Aldh3a2	ENSMUST00000074127.8	aldehyde dehydrogenase family 3, subfamily A2 	1374	2	1	0	1	6	mmu-miR-146a-3p	-0.41	-0.44	< 0.1
Syne1	ENSMUST00000095899.3	spectrin repeat containing, nuclear envelope 1 	123	2	1	0	1	2	mmu-miR-146a-3p	-0.41	-0.41	< 0.1
B3galnt1	ENSMUST00000061826.1	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1 	105	1	1	0	0	1	mmu-miR-146a-3p	-0.40	-0.43	< 0.1
Hadhb	ENSMUST00000026841.9	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit 	359	2	1	0	1	1	mmu-miR-146a-3p	-0.40	-0.51	< 0.1
Nme8	ENSMUST00000091763.2	NME/NM23 family member 8 	8	1	0	0	1	0	mmu-miR-146a-3p	-0.40	-0.40	< 0.1
Tssc1	ENSMUST00000035657.7	tumor suppressing subtransferable candidate 1 	1222	2	1	1	0	2	mmu-miR-146a-3p	-0.40	-0.49	< 0.1
Amph	ENSMUST00000003345.7	amphiphysin 	63	3	1	1	1	2	mmu-miR-146a-3p	-0.40	-0.70	< 0.1
Gm2381	ENSMUST00000174558.1	predicted gene 2381 	14	2	0	2	0	5	mmu-miR-146a-3p	-0.40	-0.41	< 0.1
BC061194	ENSMUST00000095132.4	cDNA sequence BC061194 	8	3	1	1	1	0	mmu-miR-146a-3p	-0.40	-0.54	< 0.1
RP23-105F15.4	ENSMUST00000185914.1		5	1	1	0	0	0	mmu-miR-146a-3p	-0.40	-0.40	< 0.1
1190003K10Rik	ENSMUST00000180282.1	RIKEN cDNA 1190003K10 gene 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.40	-0.40	< 0.1
Lmbr1	ENSMUST00000055195.5	limb region 1 	352	3	1	2	0	0	mmu-miR-146a-3p	-0.40	-0.43	< 0.1
Gm9979	ENSMUST00000069457.1	predicted gene 9979 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.39	-0.39	< 0.1
Suco	ENSMUST00000048377.5	SUN domain containing ossification factor 	909	3	1	1	1	0	mmu-miR-146a-3p	-0.39	-0.40	< 0.1
Rab11fip2	ENSMUST00000171986.2	RAB11 family interacting protein 2 (class I) 	452	2	1	0	1	1	mmu-miR-146a-3p	-0.39	-0.40	< 0.1
Sgsh	ENSMUST00000100172.2	N-sulfoglucosamine sulfohydrolase (sulfamidase) 	227	1	1	0	0	1	mmu-miR-146a-3p	-0.39	-0.41	< 0.1
Siah1b	ENSMUST00000037928.3	seven in absentia 1B 	25	1	1	0	0	0	mmu-miR-146a-3p	-0.39	-0.39	< 0.1
Btbd6	ENSMUST00000165079.2	BTB (POZ) domain containing 6 	149	1	1	0	0	1	mmu-miR-146a-3p	-0.39	-0.41	< 0.1
E2f6	ENSMUST00000020908.7	E2F transcription factor 6 	97	2	1	0	1	0	mmu-miR-146a-3p	-0.39	-0.39	< 0.1
Cdkn2aip	ENSMUST00000038738.5	CDKN2A interacting protein 	1262	1	1	0	0	0	mmu-miR-146a-3p	-0.39	-0.39	< 0.1
Unc119b	ENSMUST00000060798.5	unc-119 homolog B (C. elegans) 	75	3	3	0	0	1	mmu-miR-146a-3p	-0.39	-0.58	< 0.1
Cox19	ENSMUST00000049630.7	cytochrome c oxidase assembly protein 19 	606	2	0	0	2	2	mmu-miR-146a-3p	-0.39	-0.45	< 0.1
Pdzrn3	ENSMUST00000075994.7	PDZ domain containing RING finger 3 	83	3	2	1	0	0	mmu-miR-146a-3p	-0.38	-0.46	< 0.1
Srfbp1	ENSMUST00000025406.7	serum response factor binding protein 1 	598	1	1	0	0	1	mmu-miR-146a-3p	-0.38	-0.51	< 0.1
Gm5595	ENSMUST00000107992.1	predicted gene 5595 	7	1	0	1	0	7	mmu-miR-146a-3p	-0.38	-0.49	< 0.1
1110004E09Rik	ENSMUST00000023694.4	RIKEN cDNA 1110004E09 gene 	1567	1	0	1	0	2	mmu-miR-146a-3p	-0.38	-0.38	< 0.1
Defb20	ENSMUST00000109836.2	defensin beta 20 	7	1	1	0	0	0	mmu-miR-146a-3p	-0.38	-0.59	< 0.1
Tube1	ENSMUST00000019991.7	epsilon-tubulin 1 	80	4	0	2	2	0	mmu-miR-146a-3p	-0.38	-0.58	< 0.1
Sdpr	ENSMUST00000051572.7	serum deprivation response 	794	5	0	2	3	2	mmu-miR-146a-3p	-0.38	-0.63	< 0.1
Esp1	ENSMUST00000161110.1	exocrine gland secreted peptide 1 	5	2	0	1	1	0	mmu-miR-146a-3p	-0.38	-0.38	< 0.1
Tceb2	ENSMUST00000069579.5	transcription elongation factor B (SIII), polypeptide 2 	9293	1	1	0	0	0	mmu-miR-146a-3p	-0.38	-0.66	< 0.1
Nhlrc3	ENSMUST00000056749.8	NHL repeat containing 3 	220	2	1	1	0	2	mmu-miR-146a-3p	-0.38	-0.42	< 0.1
Styx	ENSMUST00000111835.2	serine/threonine/tyrosine interaction protein 	127	2	0	1	1	3	mmu-miR-146a-3p	-0.38	-0.39	< 0.1
Gk5	ENSMUST00000122383.2	glycerol kinase 5 (putative) 	228	1	1	0	0	1	mmu-miR-146a-3p	-0.37	-0.37	< 0.1
Nmt1	ENSMUST00000021314.7	N-myristoyltransferase 1 	704	1	1	0	0	0	mmu-miR-146a-3p	-0.37	-0.37	< 0.1
Dek	ENSMUST00000021807.7	DEK oncogene (DNA binding) 	246	2	0	0	2	1	mmu-miR-146a-3p	-0.37	-0.40	< 0.1
Nabp1	ENSMUST00000027279.6	nucleic acid binding protein 1 	1026	4	1	1	2	1	mmu-miR-146a-3p	-0.37	-0.55	< 0.1
2210418O10Rik	ENSMUST00000099009.3	RIKEN cDNA 2210418O10 gene 	5	2	0	1	1	1	mmu-miR-146a-3p	-0.37	-0.37	< 0.1
BC034090	ENSMUST00000186156.1	cDNA sequence BC034090 	314	2	2	0	0	0	mmu-miR-146a-3p	-0.37	-0.37	< 0.1
Gm14296	ENSMUST00000099007.2	predicted gene 14296 	5	2	0	1	1	1	mmu-miR-146a-3p	-0.37	-0.37	< 0.1
Crebl2	ENSMUST00000046303.6	cAMP responsive element binding protein-like 2 	459	1	1	0	0	0	mmu-miR-146a-3p	-0.37	-0.39	< 0.1
Zmat4	ENSMUST00000042352.5	zinc finger, matrin type 4 	27	2	1	1	0	0	mmu-miR-146a-3p	-0.37	-0.37	< 0.1
Htr5a	ENSMUST00000036227.5	5-hydroxytryptamine (serotonin) receptor 5A 	5	2	1	0	1	0	mmu-miR-146a-3p	-0.37	-0.37	< 0.1
Sntg2	ENSMUST00000021004.8	syntrophin, gamma 2 	179	1	1	0	0	0	mmu-miR-146a-3p	-0.37	-0.40	< 0.1
Csgalnact2	ENSMUST00000049344.9	chondroitin sulfate N-acetylgalactosaminyltransferase 2 	70	3	1	1	1	2	mmu-miR-146a-3p	-0.37	-0.48	< 0.1
Tdp2	ENSMUST00000038039.2	tyrosyl-DNA phosphodiesterase 2 	2131	1	1	0	0	1	mmu-miR-146a-3p	-0.36	-0.38	< 0.1
Clec4a2	ENSMUST00000041779.7	C-type lectin domain family 4, member a2 	21	1	1	0	0	0	mmu-miR-146a-3p	-0.36	-0.36	< 0.1
Rfc5	ENSMUST00000086461.7	replication factor C (activator 1) 5 	359	2	0	1	1	1	mmu-miR-146a-3p	-0.36	-0.42	< 0.1
Xaf1	ENSMUST00000146233.2	XIAP associated factor 1 	781	1	1	0	0	0	mmu-miR-146a-3p	-0.36	-0.36	< 0.1
Panx3	ENSMUST00000011262.2	pannexin 3 	5	1	1	0	0	1	mmu-miR-146a-3p	-0.36	-0.36	< 0.1
Elovl4	ENSMUST00000034796.8	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4 	11	2	0	0	2	0	mmu-miR-146a-3p	-0.36	-0.36	< 0.1
Lrp6	ENSMUST00000032322.9	low density lipoprotein receptor-related protein 6 	302	2	1	0	1	2	mmu-miR-146a-3p	-0.36	-0.50	< 0.1
Acsl6	ENSMUST00000093106.6	acyl-CoA synthetase long-chain family member 6 	49	2	1	1	0	2	mmu-miR-146a-3p	-0.36	-0.46	< 0.1
Cnot4	ENSMUST00000114993.3	CCR4-NOT transcription complex, subunit 4 	139	1	1	0	0	2	mmu-miR-146a-3p	-0.36	-0.36	< 0.1
2810417H13Rik	ENSMUST00000045802.6	RIKEN cDNA 2810417H13 gene 	462	1	1	0	0	0	mmu-miR-146a-3p	-0.36	-0.37	< 0.1
Elk4	ENSMUST00000086556.6	ELK4, member of ETS oncogene family 	84	2	0	1	1	0	mmu-miR-146a-3p	-0.36	-0.36	< 0.1
Smim11	ENSMUST00000063641.5	small integral membrane protein 11 	5485	1	0	0	1	0	mmu-miR-146a-3p	-0.36	-0.36	< 0.1
Mrgprx2	ENSMUST00000098433.4	MAS-related GPR, member X2 	9	2	0	1	1	1	mmu-miR-146a-3p	-0.36	-0.36	< 0.1
Rab27a	ENSMUST00000184146.2	RAB27A, member RAS oncogene family 	42	2	1	0	1	0	mmu-miR-146a-3p	-0.36	-0.40	< 0.1
Ehd3	ENSMUST00000024860.7	EH-domain containing 3 	1012	2	1	0	1	0	mmu-miR-146a-3p	-0.36	-0.36	< 0.1
4921522P10Rik	ENSMUST00000048606.1	RIKEN cDNA 4921522P10 gene 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.35	-0.35	< 0.1
Srd5a1	ENSMUST00000091514.5	steroid 5 alpha-reductase 1 	66	2	2	0	0	0	mmu-miR-146a-3p	-0.35	-0.44	< 0.1
Fam19a4	ENSMUST00000089295.4	family with sequence similarity 19, member A4 	17	1	1	0	0	0	mmu-miR-146a-3p	-0.35	-0.35	< 0.1
Eif2s3y	ENSMUST00000091197.3	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked 	5525	1	0	1	0	1	mmu-miR-146a-3p	-0.35	-0.44	< 0.1
Ndufa8	ENSMUST00000070112.5	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8 	5650	1	0	0	1	0	mmu-miR-146a-3p	-0.35	-0.35	< 0.1
Mss51	ENSMUST00000022353.3	MSS51 mitochondrial translational activator 	12892	1	0	1	0	0	mmu-miR-146a-3p	-0.35	-0.35	< 0.1
Camk2a	ENSMUST00000102888.4	calcium/calmodulin-dependent protein kinase II alpha 	1793	1	1	0	0	1	mmu-miR-146a-3p	-0.35	-0.35	< 0.1
Rrn3	ENSMUST00000023363.6	RRN3 RNA polymerase I transcription factor homolog (yeast) 	1504	3	0	3	0	0	mmu-miR-146a-3p	-0.35	-0.35	< 0.1
Rps6ka5	ENSMUST00000043599.6	ribosomal protein S6 kinase, polypeptide 5 	139	2	0	1	1	0	mmu-miR-146a-3p	-0.35	-0.40	< 0.1
Ceacam19	ENSMUST00000052605.7	carcinoembryonic antigen-related cell adhesion molecule 19 	6	2	1	0	1	3	mmu-miR-146a-3p	-0.35	-0.42	< 0.1
Minpp1	ENSMUST00000025827.8	multiple inositol polyphosphate histidine phosphatase 1 	105	1	1	0	0	0	mmu-miR-146a-3p	-0.34	-0.34	< 0.1
