Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Mrpl4	ENSMUST00000003386.5	mitochondrial ribosomal protein L4 	318	1	1	0	0	0	mmu-miR-146b-3p	-0.58	-0.58	< 0.1
Praf2	ENSMUST00000033489.7	PRA1 domain family 2 	122	2	1	0	1	0	mmu-miR-146b-3p	-0.56	-0.56	< 0.1
Uox	ENSMUST00000121133.1	urate oxidase 	9209	1	1	0	0	0	mmu-miR-146b-3p	-0.56	-0.56	< 0.1
Lage3	ENSMUST00000114153.1	L antigen family, member 3 	119	1	1	0	0	0	mmu-miR-146b-3p	-0.55	-0.56	< 0.1
Ttc25	ENSMUST00000006976.7	tetratricopeptide repeat domain 25 	14	1	1	0	0	0	mmu-miR-146b-3p	-0.54	-0.54	< 0.1
Pgk2	ENSMUST00000033585.5	phosphoglycerate kinase 2 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.54	-0.54	< 0.1
Wdr81	ENSMUST00000173320.2	WD repeat domain 81 	499	2	1	0	1	1	mmu-miR-146b-3p	-0.53	-0.53	< 0.1
Prkch	ENSMUST00000021527.9	protein kinase C, eta 	237	2	1	0	1	0	mmu-miR-146b-3p	-0.52	-0.52	< 0.1
Bambi	ENSMUST00000025075.1	BMP and activin membrane-bound inhibitor 	284	1	1	0	0	1	mmu-miR-146b-3p	-0.52	-0.55	< 0.1
Birc5	ENSMUST00000093906.4	baculoviral IAP repeat-containing 5 	2096	1	1	0	0	1	mmu-miR-146b-3p	-0.52	-0.52	< 0.1
Fam207a	ENSMUST00000045454.7	family with sequence similarity 207, member A 	1345	1	1	0	0	1	mmu-miR-146b-3p	-0.52	-0.52	< 0.1
Ptgdr2	ENSMUST00000037261.3	prostaglandin D2 receptor 2 	6	2	1	0	1	2	mmu-miR-146b-3p	-0.51	-0.51	< 0.1
Slc5a6	ENSMUST00000114665.2	solute carrier family 5 (sodium-dependent vitamin transporter), member 6 	102	1	1	0	0	0	mmu-miR-146b-3p	-0.51	-0.53	< 0.1
Axin2	ENSMUST00000052915.8	axin2 	122	2	1	1	0	0	mmu-miR-146b-3p	-0.51	-0.51	< 0.1
Tnfsf4	ENSMUST00000028024.4	tumor necrosis factor (ligand) superfamily, member 4 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.49	-0.49	< 0.1
Zpld1	ENSMUST00000143914.2	zona pellucida like domain containing 1 	9	1	1	0	0	0	mmu-miR-146b-3p	-0.49	-0.49	< 0.1
6330408A02Rik	ENSMUST00000119558.2	RIKEN cDNA 6330408A02 gene 	71	2	1	0	1	0	mmu-miR-146b-3p	-0.49	-0.49	< 0.1
Pogk	ENSMUST00000131487.2	pogo transposable element with KRAB domain 	370	3	1	1	1	1	mmu-miR-146b-3p	-0.49	-0.50	< 0.1
Pea15a	ENSMUST00000013842.6	phosphoprotein enriched in astrocytes 15A 	1608	2	1	0	1	1	mmu-miR-146b-3p	-0.49	-0.49	< 0.1
Tmem170b	ENSMUST00000129449.1	transmembrane protein 170B 	158	1	1	0	0	1	mmu-miR-146b-3p	-0.48	-0.49	< 0.1
Hoxd13	ENSMUST00000001872.4	homeobox D13 	17	1	1	0	0	0	mmu-miR-146b-3p	-0.48	-0.48	< 0.1
Nrbp2	ENSMUST00000019516.4	nuclear receptor binding protein 2 	457	2	1	1	0	0	mmu-miR-146b-3p	-0.47	-0.47	< 0.1
Tmem235	ENSMUST00000093905.2	transmembrane protein 235 	5	2	1	0	1	0	mmu-miR-146b-3p	-0.47	-0.47	< 0.1
Smad4	ENSMUST00000025393.8	SMAD family member 4 	1691	3	1	1	1	1	mmu-miR-146b-3p	-0.47	-0.54	< 0.1
Hsf1	ENSMUST00000072838.5	heat shock factor 1 	265	2	1	1	0	0	mmu-miR-146b-3p	-0.47	-0.51	< 0.1
Klk5	ENSMUST00000048444.6	kallikrein related-peptidase 5 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.47	-0.47	< 0.1
Rell1	ENSMUST00000154169.1	RELT-like 1 	623	1	1	0	0	0	mmu-miR-146b-3p	-0.47	-0.47	< 0.1
Wdr83	ENSMUST00000093357.6	WD repeat domain containing 83 	275	1	1	0	0	0	mmu-miR-146b-3p	-0.47	-0.47	< 0.1
E2f8	ENSMUST00000058745.9	E2F transcription factor 8 	453	1	1	0	0	0	mmu-miR-146b-3p	-0.47	-0.49	< 0.1
Mapk1	ENSMUST00000069107.8	mitogen-activated protein kinase 1 	3469	2	1	1	0	0	mmu-miR-146b-3p	-0.46	-0.48	< 0.1
Pigl	ENSMUST00000014389.5	phosphatidylinositol glycan anchor biosynthesis, class L 	198	2	1	0	1	0	mmu-miR-146b-3p	-0.46	-0.48	< 0.1
Pwp2	ENSMUST00000042556.9	PWP2 periodic tryptophan protein homolog (yeast) 	104	1	1	0	0	0	mmu-miR-146b-3p	-0.46	-0.46	< 0.1
Zfp317	ENSMUST00000079042.6	zinc finger protein 317 	1027	1	1	0	0	0	mmu-miR-146b-3p	-0.46	-0.46	< 0.1
Efemp2	ENSMUST00000165485.2	epidermal growth factor-containing fibulin-like extracellular matrix protein 2 	359	1	1	0	0	0	mmu-miR-146b-3p	-0.46	-0.46	< 0.1
Gm5069	ENSMUST00000050581.3	predicted pseudogene 5069 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.46	-0.46	< 0.1
Vma21	ENSMUST00000114577.2	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae) 	350	1	1	0	0	0	mmu-miR-146b-3p	-0.46	-0.48	< 0.1
Acer2	ENSMUST00000045224.8	alkaline ceramidase 2 	808	3	0	3	0	1	mmu-miR-146b-3p	-0.46	-0.47	< 0.1
Hmbs	ENSMUST00000077353.8	hydroxymethylbilane synthase 	10	1	1	0	0	0	mmu-miR-146b-3p	-0.45	-0.45	< 0.1
H2afy	ENSMUST00000016081.7	H2A histone family, member Y 	5720	2	1	1	0	0	mmu-miR-146b-3p	-0.45	-0.54	< 0.1
Ccdc63	ENSMUST00000058960.8	coiled-coil domain containing 63 	5	1	0	1	0	0	mmu-miR-146b-3p	-0.45	-0.45	< 0.1
Zfp174	ENSMUST00000041778.7	zinc finger protein 174 	81	3	2	1	0	0	mmu-miR-146b-3p	-0.44	-0.47	< 0.1
Icosl	ENSMUST00000105393.1	icos ligand 	255	1	1	0	0	0	mmu-miR-146b-3p	-0.44	-0.44	< 0.1
Slc25a18	ENSMUST00000112682.2	solute carrier family 25 (mitochondrial carrier), member 18 	19	1	1	0	0	0	mmu-miR-146b-3p	-0.44	-0.44	< 0.1
Tmprss13	ENSMUST00000034597.7	transmembrane protease, serine 13 	12	2	1	0	1	0	mmu-miR-146b-3p	-0.43	-0.43	< 0.1
Phyh	ENSMUST00000027975.7	phytanoyl-CoA hydroxylase 	10750	1	0	1	0	0	mmu-miR-146b-3p	-0.43	-0.44	< 0.1
Srpx2	ENSMUST00000113304.1	sushi-repeat-containing protein, X-linked 2 	95	1	1	0	0	0	mmu-miR-146b-3p	-0.43	-0.43	< 0.1
Iqcg	ENSMUST00000115100.2	IQ motif containing G 	310	1	1	0	0	1	mmu-miR-146b-3p	-0.43	-0.45	< 0.1
Tgif1	ENSMUST00000186358.1	TGFB-induced factor homeobox 1 	815	1	1	0	0	0	mmu-miR-146b-3p	-0.43	-0.43	< 0.1
Sfxn5	ENSMUST00000045846.6	sideroflexin 5 	131	1	1	0	0	1	mmu-miR-146b-3p	-0.43	-0.43	< 0.1
Aurka	ENSMUST00000109140.4	aurora kinase A 	777	1	1	0	0	0	mmu-miR-146b-3p	-0.43	-0.43	< 0.1
Zbtb45	ENSMUST00000172240.1	zinc finger and BTB domain containing 45 	76	2	2	0	0	1	mmu-miR-146b-3p	-0.43	-0.60	< 0.1
Zfp354a	ENSMUST00000109122.2	zinc finger protein 354A 	94	1	1	0	0	0	mmu-miR-146b-3p	-0.41	-0.41	< 0.1
Rfpl4	ENSMUST00000179971.2	ret finger protein-like 4 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.41	-0.41	< 0.1
Nefm	ENSMUST00000022638.5	neurofilament, medium polypeptide 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.41	-0.41	< 0.1
Arrdc4	ENSMUST00000048068.8	arrestin domain containing 4 	212	1	1	0	0	1	mmu-miR-146b-3p	-0.41	-0.42	< 0.1
Tmprss12	ENSMUST00000096200.4	transmembrane (C-terminal) protease, serine 12 	8	1	0	1	0	0	mmu-miR-146b-3p	-0.41	-0.41	< 0.1
Cdx1	ENSMUST00000025521.8	caudal type homeobox 1 	5	2	0	0	2	0	mmu-miR-146b-3p	-0.41	-0.41	< 0.1
Cyb561a3	ENSMUST00000168445.1	cytochrome b561 family, member A3 	609	1	1	0	0	0	mmu-miR-146b-3p	-0.40	-0.41	< 0.1
Vsig4	ENSMUST00000050707.2	V-set and immunoglobulin domain containing 4 	29	1	0	1	0	1	mmu-miR-146b-3p	-0.40	-0.40	< 0.1
Zfp385c	ENSMUST00000103119.4	zinc finger protein 385C 	5	2	1	1	0	0	mmu-miR-146b-3p	-0.40	-0.40	< 0.1
Cnppd1	ENSMUST00000168720.2	cyclin Pas1/PHO80 domain containing 1 	1050	2	2	0	0	0	mmu-miR-146b-3p	-0.40	-0.68	< 0.1
Rgs5	ENSMUST00000027997.3	regulator of G-protein signaling 5 	2393	1	1	0	0	0	mmu-miR-146b-3p	-0.40	-0.41	< 0.1
Fsd2	ENSMUST00000042318.5	fibronectin type III and SPRY domain containing 2 	5860	2	2	0	0	1	mmu-miR-146b-3p	-0.39	-0.42	< 0.1
Atxn1	ENSMUST00000180110.2	ataxin 1 	414	2	0	0	2	1	mmu-miR-146b-3p	-0.39	-0.41	< 0.1
Pgm5	ENSMUST00000047666.4	phosphoglucomutase 5 	870	1	1	0	0	2	mmu-miR-146b-3p	-0.39	-0.39	< 0.1
Kcns1	ENSMUST00000045196.3	K+ voltage-gated channel, subfamily S, 1 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.39	-0.39	< 0.1
Hrasls	ENSMUST00000089824.5	HRAS-like suppressor 	808	1	0	1	0	0	mmu-miR-146b-3p	-0.39	-0.39	< 0.1
6330419J24Rik	ENSMUST00000068106.3	RIKEN cDNA 6330419J24 gene 	52	3	1	1	1	0	mmu-miR-146b-3p	-0.39	-0.53	< 0.1
Necab1	ENSMUST00000041606.8	N-terminal EF-hand calcium binding protein 1 	85	1	1	0	0	0	mmu-miR-146b-3p	-0.38	-0.40	< 0.1
Fam177a	ENSMUST00000177768.1	family with sequence similarity 177, member A 	5	2	1	0	1	0	mmu-miR-146b-3p	-0.37	-0.37	< 0.1
Gm2a	ENSMUST00000000608.7	GM2 ganglioside activator protein 	62	1	1	0	0	1	mmu-miR-146b-3p	-0.37	-0.42	< 0.1
Six5	ENSMUST00000049454.5	sine oculis-related homeobox 5 	303	2	1	1	0	2	mmu-miR-146b-3p	-0.37	-0.38	< 0.1
Rab2b	ENSMUST00000022765.8	RAB2B, member RAS oncogene family 	99	2	1	0	1	0	mmu-miR-146b-3p	-0.37	-0.47	< 0.1
H1foo	ENSMUST00000161969.1	H1 histone family, member O, oocyte-specific 	5	1	0	1	0	1	mmu-miR-146b-3p	-0.37	-0.37	< 0.1
Pkd2l2	ENSMUST00000014647.7	polycystic kidney disease 2-like 2 	38	1	1	0	0	0	mmu-miR-146b-3p	-0.37	-0.47	< 0.1
P2rx2	ENSMUST00000058016.10	purinergic receptor P2X, ligand-gated ion channel, 2 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.37	-0.37	< 0.1
Zdhhc12	ENSMUST00000102865.5	zinc finger, DHHC domain containing 12 	46	2	0	1	1	0	mmu-miR-146b-3p	-0.36	-0.36	< 0.1
Ece2	ENSMUST00000119224.2	endothelin converting enzyme 2 	510	1	1	0	0	0	mmu-miR-146b-3p	-0.36	-0.37	< 0.1
Olfr159	ENSMUST00000053931.1	olfactory receptor 159 	1	1	1	0	0	0	mmu-miR-146b-3p	-0.36	-0.36	< 0.1
Aqp2	ENSMUST00000023752.4	aquaporin 2 	111	2	1	0	1	2	mmu-miR-146b-3p	-0.36	-0.45	< 0.1
Axin1	ENSMUST00000074370.4	axin 1 	10	1	1	0	0	0	mmu-miR-146b-3p	-0.36	-0.36	< 0.1
Apol6	ENSMUST00000149569.2	apolipoprotein L 6 	1917	3	1	1	1	3	mmu-miR-146b-3p	-0.36	-0.72	< 0.1
Rnf26	ENSMUST00000185479.1	ring finger protein 26 	15	1	1	0	0	0	mmu-miR-146b-3p	-0.35	-0.44	< 0.1
Krtcap3	ENSMUST00000114570.2	keratinocyte associated protein 3 	111	1	0	1	0	0	mmu-miR-146b-3p	-0.35	-0.35	< 0.1
Exoc3l2	ENSMUST00000137613.2	exocyst complex component 3-like 2 	100	1	1	0	0	0	mmu-miR-146b-3p	-0.35	-0.43	< 0.1
Hps6	ENSMUST00000099393.2	Hermansky-Pudlak syndrome 6 	74	1	0	1	0	0	mmu-miR-146b-3p	-0.35	-0.35	< 0.1
Zdhhc20	ENSMUST00000089473.3	zinc finger, DHHC domain containing 20 	566	1	1	0	0	0	mmu-miR-146b-3p	-0.35	-0.42	< 0.1
Tmem62	ENSMUST00000067582.8	transmembrane protein 62 	61	1	1	0	0	0	mmu-miR-146b-3p	-0.35	-0.35	< 0.1
Kctd21	ENSMUST00000054107.5	potassium channel tetramerisation domain containing 21 	138	3	0	2	1	2	mmu-miR-146b-3p	-0.35	-0.40	< 0.1
Vdr	ENSMUST00000023119.9	vitamin D receptor 	160	3	2	0	1	0	mmu-miR-146b-3p	-0.35	-0.49	< 0.1
Itgb2l	ENSMUST00000113773.1	integrin beta 2-like 	5	2	0	0	2	0	mmu-miR-146b-3p	-0.35	-0.35	< 0.1
Fos	ENSMUST00000021674.6	FBJ osteosarcoma oncogene 	164	1	1	0	0	0	mmu-miR-146b-3p	-0.34	-0.34	< 0.1
Cutal	ENSMUST00000113068.3	cutA divalent cation tolerance homolog-like 	692	1	0	1	0	2	mmu-miR-146b-3p	-0.34	-0.39	< 0.1
Tcn2	ENSMUST00000109993.3	transcobalamin 2 	355	1	1	0	0	0	mmu-miR-146b-3p	-0.34	-0.34	< 0.1
Lfng	ENSMUST00000031555.1	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase 	2087	1	1	0	0	1	mmu-miR-146b-3p	-0.34	-0.35	< 0.1
Kras	ENSMUST00000111710.2	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog 	2205	1	1	0	0	0	mmu-miR-146b-3p	-0.34	-0.36	< 0.1
Ccdc24	ENSMUST00000164853.2	coiled-coil domain containing 24 	50	2	1	1	0	1	mmu-miR-146b-3p	-0.34	-0.56	< 0.1
Cenpq	ENSMUST00000087114.3	centromere protein Q 	144	1	1	0	0	0	mmu-miR-146b-3p	-0.34	-0.49	< 0.1
Tirap	ENSMUST00000175765.2	toll-interleukin 1 receptor (TIR) domain-containing adaptor protein 	257	1	1	0	0	0	mmu-miR-146b-3p	-0.34	-0.34	< 0.1
Icmt	ENSMUST00000048892.8	isoprenylcysteine carboxyl methyltransferase 	720	2	0	2	0	0	mmu-miR-146b-3p	-0.33	-0.36	< 0.1
H2-K1	ENSMUST00000172912.2	histocompatibility 2, K1, K region 	25888	1	0	1	0	0	mmu-miR-146b-3p	-0.33	-0.34	< 0.1
Wisp1	ENSMUST00000118823.1	WNT1 inducible signaling pathway protein 1 	499	2	1	1	0	1	mmu-miR-146b-3p	-0.33	-0.34	< 0.1
Mrgprd	ENSMUST00000062163.6	MAS-related GPR, member D 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.33	-0.33	< 0.1
Yae1d1	ENSMUST00000099735.4	Yae1 domain containing 1 	346	2	0	1	1	3	mmu-miR-146b-3p	-0.33	-0.41	< 0.1
Cmklr1	ENSMUST00000047936.7	chemokine-like receptor 1 	1165	5	2	1	2	1	mmu-miR-146b-3p	-0.33	-0.43	< 0.1
Rgs8	ENSMUST00000041776.6	regulator of G-protein signaling 8 	5	3	0	1	2	1	mmu-miR-146b-3p	-0.33	-0.33	< 0.1
Gm11541	ENSMUST00000069852.1	predicted gene 11541 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.33	-0.33	< 0.1
Nsun7	ENSMUST00000065530.7	NOL1/NOP2/Sun domain family, member 7 	16	1	1	0	0	0	mmu-miR-146b-3p	-0.33	-0.33	< 0.1
Tnfrsf14	ENSMUST00000045919.6	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator) 	58	1	1	0	0	1	mmu-miR-146b-3p	-0.33	-0.40	< 0.1
Zcchc24	ENSMUST00000069180.7	zinc finger, CCHC domain containing 24 	6383	1	1	0	0	1	mmu-miR-146b-3p	-0.33	-0.33	< 0.1
Zfp667	ENSMUST00000086327.6	zinc finger protein 667 	124	1	1	0	0	0	mmu-miR-146b-3p	-0.33	-0.33	< 0.1
Cx3cr1	ENSMUST00000064165.3	chemokine (C-X3-C motif) receptor 1 	28	1	1	0	0	0	mmu-miR-146b-3p	-0.32	-0.32	< 0.1
Gm6034	ENSMUST00000097331.1	predicted gene 6034 	5	2	0	1	1	0	mmu-miR-146b-3p	-0.32	-0.32	< 0.1
Stk16	ENSMUST00000027401.5	serine/threonine kinase 16 	182	3	0	3	0	0	mmu-miR-146b-3p	-0.32	-0.59	< 0.1
Atf5	ENSMUST00000107893.2	activating transcription factor 5 	126	1	0	1	0	2	mmu-miR-146b-3p	-0.32	-0.33	< 0.1
Pcdh1	ENSMUST00000160721.2	protocadherin 1 	1295	3	0	1	2	2	mmu-miR-146b-3p	-0.32	-0.33	< 0.1
Tspan33	ENSMUST00000046750.8	tetraspanin 33 	172	2	1	1	0	0	mmu-miR-146b-3p	-0.32	-0.36	< 0.1
Sema4f	ENSMUST00000000641.10	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain 	28	1	1	0	0	0	mmu-miR-146b-3p	-0.32	-0.37	< 0.1
Stxbp3a	ENSMUST00000102621.5	syntaxin binding protein 3A 	37	2	1	0	1	0	mmu-miR-146b-3p	-0.32	-0.40	< 0.1
Ahrr	ENSMUST00000022059.8	aryl-hydrocarbon receptor repressor 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.32	-0.32	< 0.1
2210018M11Rik	ENSMUST00000038359.4	RIKEN cDNA 2210018M11 gene 	780	2	1	1	0	0	mmu-miR-146b-3p	-0.32	-0.34	< 0.1
Lrmp	ENSMUST00000032396.7	lymphoid-restricted membrane protein 	83	1	0	1	0	1	mmu-miR-146b-3p	-0.32	-0.32	< 0.1
Syngr3	ENSMUST00000007236.4	synaptogyrin 3 	12	1	1	0	0	0	mmu-miR-146b-3p	-0.32	-0.32	< 0.1
Endod1	ENSMUST00000167549.1	endonuclease domain containing 1 	833	2	1	0	1	0	mmu-miR-146b-3p	-0.32	-0.34	< 0.1
Sfr1	ENSMUST00000099353.4	SWI5 dependent recombination repair 1 	4220	2	0	1	1	0	mmu-miR-146b-3p	-0.31	-0.47	< 0.1
Anp32a	ENSMUST00000085519.7	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A 	803	2	1	1	0	0	mmu-miR-146b-3p	-0.31	-0.53	< 0.1
Tmed3	ENSMUST00000058488.7	transmembrane emp24 domain containing 3 	257	1	0	1	0	0	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
Fermt3	ENSMUST00000040772.8	fermitin family homolog 3 (Drosophila) 	23	1	1	0	0	0	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
Ddx23	ENSMUST00000003450.9	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23 	9541	1	1	0	0	0	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
A930033H14Rik	ENSMUST00000170048.1	RIKEN cDNA A930033H14 gene 	73	2	0	1	1	0	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
Lrrc56	ENSMUST00000084446.3	leucine rich repeat containing 56 	151	1	0	1	0	0	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
Wnt8a	ENSMUST00000012426.2	wingless-related MMTV integration site 8A 	29	3	0	2	1	1	mmu-miR-146b-3p	-0.31	-0.41	< 0.1
Pvrl4	ENSMUST00000006578.4	poliovirus receptor-related 4 	40	2	0	1	1	0	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
Lclat1	ENSMUST00000067545.6	lysocardiolipin acyltransferase 1 	1861	1	0	1	0	1	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
Fam65b	ENSMUST00000110383.2	family with sequence similarity 65, member B 	149	2	2	0	0	1	mmu-miR-146b-3p	-0.31	-0.32	< 0.1
Pxdc1	ENSMUST00000053459.8	PX domain containing 1 	383	2	0	2	0	0	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
Snip1	ENSMUST00000052183.6	Smad nuclear interacting protein 1 	206	1	1	0	0	0	mmu-miR-146b-3p	-0.31	-0.33	< 0.1
Mrps26	ENSMUST00000145614.1	mitochondrial ribosomal protein S26 	474	2	0	1	1	1	mmu-miR-146b-3p	-0.31	-0.45	< 0.1
Tcta	ENSMUST00000044725.7	T cell leukemia translocation altered gene 	122	1	1	0	0	0	mmu-miR-146b-3p	-0.31	-0.37	< 0.1
Cdkl4	ENSMUST00000086545.4	cyclin-dependent kinase-like 4 	28	1	1	0	0	0	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
Utp14b	ENSMUST00000053760.6	UTP14, U3 small nucleolar ribonucleoprotein, homolog B (yeast) 	402	3	1	0	2	0	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
Gm21092	ENSMUST00000178995.1	predicted gene, 21092 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
Kat7	ENSMUST00000092766.6	K(lysine) acetyltransferase 7 	170	1	1	0	0	0	mmu-miR-146b-3p	-0.31	-0.31	< 0.1
Sepp1	ENSMUST00000082424.5	selenoprotein P, plasma, 1 	39913	1	0	1	0	0	mmu-miR-146b-3p	-0.30	-0.30	< 0.1
Wdr4	ENSMUST00000171171.2	WD repeat domain 4 	883	2	1	0	1	0	mmu-miR-146b-3p	-0.30	-0.30	< 0.1
Cacnb4	ENSMUST00000178799.2	calcium channel, voltage-dependent, beta 4 subunit 	26	2	1	1	0	1	mmu-miR-146b-3p	-0.30	-0.33	< 0.1
C1ql2	ENSMUST00000037286.9	complement component 1, q subcomponent-like 2 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.30	-0.30	< 0.1
Kcnab3	ENSMUST00000018614.2	potassium voltage-gated channel, shaker-related subfamily, beta member 3 	38	1	0	1	0	1	mmu-miR-146b-3p	-0.30	-0.30	< 0.1
Tmem200b	ENSMUST00000094666.3	transmembrane protein 200B 	383	2	0	2	0	0	mmu-miR-146b-3p	-0.30	-0.30	< 0.1
C1qtnf6	ENSMUST00000023075.8	C1q and tumor necrosis factor related protein 6 	212	3	0	1	2	1	mmu-miR-146b-3p	-0.30	-0.30	< 0.1
Olfr464	ENSMUST00000074874.3	olfactory receptor 464 	3	1	1	0	0	0	mmu-miR-146b-3p	-0.30	-0.30	< 0.1
Sqstm1	ENSMUST00000015981.6	sequestosome 1 	759	2	1	1	0	0	mmu-miR-146b-3p	-0.30	-0.64	< 0.1
Gm6483	ENSMUST00000127799.1	predicted gene 6483 	7	1	1	0	0	1	mmu-miR-146b-3p	-0.30	-0.30	< 0.1
Rem2	ENSMUST00000164766.2	rad and gem related GTP binding protein 2 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.30	-0.30	< 0.1
9930111J21Rik2	ENSMUST00000101295.3	RIKEN cDNA 9930111J21 gene 2 	6	1	1	0	0	0	mmu-miR-146b-3p	-0.30	-0.30	< 0.1
Nenf	ENSMUST00000046770.9	neuron derived neurotrophic factor 	6866	1	0	0	1	0	mmu-miR-146b-3p	-0.29	-0.29	< 0.1
Tgds	ENSMUST00000022727.8	TDP-glucose 4,6-dehydratase 	282	1	0	1	0	0	mmu-miR-146b-3p	-0.29	-0.29	< 0.1
Scn4b	ENSMUST00000060125.5	sodium channel, type IV, beta 	525	1	1	0	0	1	mmu-miR-146b-3p	-0.29	-0.29	< 0.1
Pdk2	ENSMUST00000038431.7	pyruvate dehydrogenase kinase, isoenzyme 2 	155	2	0	2	0	0	mmu-miR-146b-3p	-0.29	-0.30	< 0.1
Plcb3	ENSMUST00000025912.8	phospholipase C, beta 3 	100	1	1	0	0	1	mmu-miR-146b-3p	-0.29	-0.29	< 0.1
Lce1m	ENSMUST00000029520.7	late cornified envelope 1M 	5	1	0	1	0	0	mmu-miR-146b-3p	-0.29	-0.29	< 0.1
Umodl1	ENSMUST00000114555.1	uromodulin-like 1 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.29	-0.29	< 0.1
Foxs1	ENSMUST00000099200.2	forkhead box S1 	74	1	0	1	0	0	mmu-miR-146b-3p	-0.29	-0.29	< 0.1
Dbpht2	ENSMUST00000072100.3	DNA binding protein with his-thr domain 	5	1	0	1	0	0	mmu-miR-146b-3p	-0.29	-0.29	< 0.1
